id,queries,current_query,num_feature,query_hash
1,"SELECT MIN(cn.name) AS movie_company,
				   MIN(mi_idx.info) AS rating,
				   MIN(t.title) AS drama_horror_movie
			FROM company_name AS cn,
				 company_type AS ct,
				 info_type AS it1,
				 info_type AS it2,
				 movie_companies AS mc,
				 movie_info AS mi,
				 movie_info_idx AS mi_idx,
				 title AS t
			WHERE cn.country_code = '[us]' AND ct.kind = 'production companies' AND it1.info =  'genres' AND it2.info =  'rating' AND mi.info IN ( 'Drama' , 'Horror' )AND mi_idx.info >  '8.0' AND t.production_year BETWEEN 1909 AND 1974 AND t.id = mi.movie_id
			  AND t.id = mi_idx.movie_id
			  AND mi.info_type_id = it1.id
			  AND mi_idx.info_type_id = it2.id
			  AND t.id = mc.movie_id
			  AND ct.id = mc.company_type_id
			  AND cn.id = mc.company_id
			  AND mc.movie_id = mi.movie_id
			  AND mc.movie_id = mi_idx.movie_id
			  AND mi.movie_id = mi_idx.movie_id;","{1909,1974}",2,12
2,"SELECT MIN(mi.info) AS release_date,
				   MIN(t.title) AS internet_movie
			FROM aka_title AS at,
				 company_name AS cn,
				 company_type AS ct,
				 info_type AS it1,
				 keyword AS k,
				 movie_companies AS mc,
				 movie_info AS mi,
				 movie_keyword AS mk,
				 title AS t
			WHERE cn.country_code = '[us]' AND it1.info =  'release dates' AND mc.note LIKE '%(200%)%' AND mc.note LIKE  '%(worldwide)%' AND mi.note LIKE  '%internet%' AND mi.info LIKE  'USA:% 200%' AND t.production_year > 2004 AND t.id = at.movie_id
			  AND t.id = mi.movie_id
			  AND t.id = mk.movie_id
			  AND t.id = mc.movie_id
			  AND mk.movie_id = mi.movie_id
			  AND mk.movie_id = mc.movie_id
			  AND mk.movie_id = at.movie_id
			  AND mi.movie_id = mc.movie_id
			  AND mi.movie_id = at.movie_id
			  AND mc.movie_id = at.movie_id
			  AND k.id = mk.keyword_id
			  AND it1.id = mi.info_type_id
			  AND cn.id = mc.company_id
			  AND ct.id = mc.company_type_id;","{2004,2016}",1,15
3,"select 
			MIN(chn.name) AS uncredited_voiced_character,
			MIN(t.title) AS russian_movie
			from
				 char_name AS chn,
				 cast_info AS ci,
				 company_name AS cn,
				 company_type AS ct,
				 movie_companies AS mc,
				 role_type AS rt,
				 title AS t
			where
			ci.note LIKE '%(voice)%' AND ci.note LIKE '%(uncredited)%' AND cn.country_code ='[ru]'  AND rt.role = 'actor' AND t.production_year > 1951 AND t.id = mc.movie_id
				  AND t.id = ci.movie_id
				  AND ci.movie_id = mc.movie_id
				  AND chn.id = ci.person_role_id
				  AND rt.id = ci.role_id
				  AND cn.id = mc.company_id
				  AND ct.id = mc.company_type_id;","{1951,1956}",1,10
4,"SELECT 
			MIN(an1.name) AS actress_pseudonym,
			MIN(t.title) AS japanese_movie_dubbed
			FROM aka_name AS an1,
			cast_info AS ci,
			company_name AS cn,
			movie_companies AS mc,
			name AS n1,
			role_type AS rt,
			title AS t
			WHERE ci.note = '(voice: English version)' AND cn.country_code = '[jp]' AND mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%' AND n1.name LIKE '%Yo%' AND n1.name NOT LIKE '%Yu%' AND rt.role = 'actress' AND an1.person_id = n1.id
			  AND n1.id = ci.person_id
			  AND ci.movie_id = t.id
			  AND t.id = mc.movie_id
			  AND mc.company_id = cn.id
			  AND ci.role_id = rt.id
			  AND an1.person_id = ci.person_id
			  AND ci.movie_id = mc.movie_id;","{1,1}",1,8
5,"SELECT MIN(cn.name) AS movie_company,
				   MIN(mi_idx.info) AS rating,
				   MIN(t.title) AS drama_horror_movie
			FROM company_name AS cn,
				 company_type AS ct,
				 info_type AS it1,
				 info_type AS it2,
				 movie_companies AS mc,
				 movie_info AS mi,
				 movie_info_idx AS mi_idx,
				 title AS t
			WHERE cn.country_code = '[us]' AND ct.kind = 'production companies' AND it1.info =  'genres' AND it2.info =  'rating' AND mi.info IN ( 'Drama' , 'Horror' )AND mi_idx.info >  '8.0' AND t.production_year BETWEEN 1929 AND 1981 AND t.id = mi.movie_id
			  AND t.id = mi_idx.movie_id
			  AND mi.info_type_id = it1.id
			  AND mi_idx.info_type_id = it2.id
			  AND t.id = mc.movie_id
			  AND ct.id = mc.company_type_id
			  AND cn.id = mc.company_id
			  AND mc.movie_id = mi.movie_id
			  AND mc.movie_id = mi_idx.movie_id
			  AND mi.movie_id = mi_idx.movie_id;","{1929,1981}",2,12
6,"SELECT 
			MIN(an1.name) AS actress_pseudonym,
			MIN(t.title) AS japanese_movie_dubbed
			FROM aka_name AS an1,
			cast_info AS ci,
			company_name AS cn,
			movie_companies AS mc,
			name AS n1,
			role_type AS rt,
			title AS t
			WHERE ci.note = '(voice: English version)' AND cn.country_code = '[jp]' AND mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%' AND n1.name LIKE '%Yo%' AND n1.name NOT LIKE '%Yu%' AND rt.role = 'actress' AND an1.person_id = n1.id
			  AND n1.id = ci.person_id
			  AND ci.movie_id = t.id
			  AND t.id = mc.movie_id
			  AND mc.company_id = cn.id
			  AND ci.role_id = rt.id
			  AND an1.person_id = ci.person_id
			  AND ci.movie_id = mc.movie_id;","{1,1}",1,8
7,"SELECT MIN(n.name) AS member_in_charnamed_american_movie,
				   MIN(n.name) AS a1
			FROM cast_info AS ci,
				 company_name AS cn,
				 keyword AS k,
				 movie_companies AS mc,
				 movie_keyword AS mk,
				 name AS n,
				 title AS t
			WHERE cn.country_code ='[us]' AND k.keyword =  'character-name-in-title' AND n.name LIKE   'B%' AND n.id = ci.person_id
			  AND ci.movie_id = t.id
			  AND t.id = mk.movie_id
			  AND mk.keyword_id = k.id
			  AND t.id = mc.movie_id
			  AND mc.company_id = cn.id
			  AND ci.movie_id = mc.movie_id
			  AND ci.movie_id = mk.movie_id
			  AND mc.movie_id = mk.movie_id;","{1,1}",1,17
8,"select 
			MIN(an.name) AS alternative_name,
			MIN(chn.name) AS character_name,
			MIN(t.title) AS movie
			from
				 aka_name AS an,
				 char_name AS chn,
				 cast_info AS ci,
				 company_name AS cn,
				 movie_companies AS mc,
				 name AS n,
				 role_type AS rt,
				 title AS t
			where
			ci.note IN ('(voice)','(voice: Japanese version)','(voice) (uncredited)','(voice: English version)') AND cn.country_code ='[us]' AND mc.note IS NOT NULL AND (mc.note LIKE '%(USA)%' OR mc.note LIKE '%(worldwide)%') AND n.gender = 'f' AND n.name LIKE '%Ang%'  AND rt.role = 'actress' AND t.production_year BETWEEN 1962 AND 1994 AND ci.movie_id = t.id
				  AND t.id = mc.movie_id
				  AND ci.movie_id = mc.movie_id
				  AND mc.company_id = cn.id
				  AND ci.role_id = rt.id
				  AND n.id = ci.person_id
				  AND chn.id = ci.person_role_id
				  AND an.person_id = n.id
				  AND an.person_id = ci.person_id;","{1962,1994}",2,9
9,"SELECT MIN(mi.info) AS release_date,
				   MIN(miidx.info) AS rating,
				   MIN(t.title) AS german_movie
			FROM company_name AS cn,
				 company_type AS ct,
				 info_type AS it,
				 info_type AS it2,
				 kind_type AS kt,
				 movie_companies AS mc,
				 movie_info AS mi,
				 movie_info_idx AS miidx,
				 title AS t
			WHERE cn.country_code ='[de]' AND ct.kind = 'production companies' AND it.info = 'rating' AND it2.info =  'release dates' AND kt.kind = 'movie' AND mi.movie_id = t.id
			  AND it2.id = mi.info_type_id
			  AND kt.id = t.kind_id
			  AND mc.movie_id = t.id
			  AND cn.id = mc.company_id
			  AND ct.id = mc.company_type_id
			  AND miidx.movie_id = t.id
			  AND it.id = miidx.info_type_id
			  AND mi.movie_id = miidx.movie_id
			  AND mi.movie_id = mc.movie_id
			  AND miidx.movie_id = mc.movie_id;","{1,1}",1,13
10,"select 
			MIN(n.name) AS of_person,
			MIN(t.title) AS biography_movie
			from
				aka_name AS an,
				cast_info AS ci,
				info_type AS it,
				link_type AS lt,
				movie_link AS ml,
				name AS n,
				person_info AS pi,
				title AS t
			where
			 an.name LIKE '%a%' AND it.info = 'mini biography' AND lt.link = 'features' AND n.name_pcode_cf BETWEEN 'A' AND 'F'  AND (n.gender= 'm' OR (n.gender = 'f' AND n.name LIKE 'B%')) AND pi.note = 'Volker Boehm' AND t.production_year BETWEEN 1951 AND 1989 AND n.id = an.person_id
				  AND n.id = pi.person_id
				  AND ci.person_id = n.id
				  AND t.id = ci.movie_id
				  AND ml.linked_movie_id = t.id
				  AND lt.id = ml.link_type_id
				  AND it.id = pi.info_type_id
				  AND pi.person_id = an.person_id
				  AND pi.person_id = ci.person_id
				  AND an.person_id = ci.person_id
				  AND ci.movie_id = ml.linked_movie_id;","{1951,1989}",2,7
