id,queries,current_query,num_feature,query_hash
1,"select  i_item_id
				  ,i_item_desc 
				  ,i_category 
				  ,i_class 
				  ,i_current_price
				  ,sum(ws_ext_sales_price) as itemrevenue 
				  ,sum(ws_ext_sales_price)*100/sum(sum(ws_ext_sales_price)) over
					  (partition by i_class) as revenueratio
			from	
				web_sales
					,item 
					,date_dim
			where 
				ws_item_sk = i_item_sk 
				and i_category in ('Jewelry','Sports','Books')
			and ws_sold_date_sk = d_date_sk
			and d_date between cast( '1999-01-12' as date) 
				and (cast( '2000-02-12'as date))
			group by 
				i_item_id
					,i_item_desc 
					,i_category
					,i_class
					,i_current_price
			order by 
				i_category
					,i_class
					,i_item_id
					,i_item_desc
					,revenueratio
			limit 100;","{1999,2000}",2,1
2,"select  i_item_id
				  ,i_item_desc 
				  ,i_category 
				  ,i_class 
				  ,i_current_price
				  ,sum(ws_ext_sales_price) as itemrevenue 
				  ,sum(ws_ext_sales_price)*100/sum(sum(ws_ext_sales_price)) over
					  (partition by i_class) as revenueratio
			from	
				web_sales
					,item 
					,date_dim
			where 
				ws_item_sk = i_item_sk 
				and i_category in ('Jewelry','Sports','Books')
			and ws_sold_date_sk = d_date_sk
			and d_date between cast( '2002-01-12' as date) 
				and (cast( '2002-02-12'as date))
			group by 
				i_item_id
					,i_item_desc 
					,i_category
					,i_class
					,i_current_price
			order by 
				i_category
					,i_class
					,i_item_id
					,i_item_desc
					,revenueratio
			limit 100;","{2002,2002}",2,1
3,"select  
   count(distinct cs_order_number) as ""order count"",sum(cs_ext_ship_cost) as ""total shipping cost"",sum(cs_net_profit) as ""total net profit"" from
			   catalog_sales cs1
			  ,date_dim
			  ,customer_address
			  ,call_center
			where
				d_date between '1998-2-01' and 
           (cast('2003-4-01' as date))
			and cs1.cs_ship_date_sk = d_date_sk
			and cs1.cs_ship_addr_sk = ca_address_sk
			and ca_state = 'IL' and cs1.cs_call_center_sk = cc_call_center_sk
			and cc_county in ('Williamson County','Williamson County','Williamson County','Williamson County','Williamson County')
			and exists (select *
						from catalog_sales cs2
						where cs1.cs_order_number = cs2.cs_order_number
						  and cs1.cs_warehouse_sk <> cs2.cs_warehouse_sk)
			and not exists(select *
						   from catalog_returns cr1
						   where cs1.cs_order_number = cr1.cr_order_number)
			order by count(distinct cs_order_number)
			limit 100;","{1998,2003}",2,2
4,"select  i_item_id
				   ,i_item_desc 
				   ,i_category 
				   ,i_class 
				   ,i_current_price
				   ,sum(cs_ext_sales_price) as itemrevenue 
				   ,sum(cs_ext_sales_price)*100/sum(sum(cs_ext_sales_price)) over
					   (partition by i_class) as revenueratio
			 from	catalog_sales
				 ,item 
				 ,date_dim
			 where cs_item_sk = i_item_sk 
			   and i_category in ('Jewelry','Sports','Books')
			   and cs_sold_date_sk = d_date_sk
			 and d_date between cast( '1999-01-12' as date) 
 				and (cast('1999-02-12' as date))
			 group by i_item_id
					 ,i_item_desc 
					 ,i_category
					 ,i_class
					 ,i_current_price
			 order by i_category
					 ,i_class
					 ,i_item_id
					 ,i_item_desc
					 ,revenueratio
			limit 100;","{1999,1999}",2,3
5,"select  
   count(distinct cs_order_number) as ""order count"",sum(cs_ext_ship_cost) as ""total shipping cost"",sum(cs_net_profit) as ""total net profit"" from
			   catalog_sales cs1
			  ,date_dim
			  ,customer_address
			  ,call_center
			where
				d_date between '1999-2-01' and 
           (cast('2002-4-01' as date))
			and cs1.cs_ship_date_sk = d_date_sk
			and cs1.cs_ship_addr_sk = ca_address_sk
			and ca_state = 'IL' and cs1.cs_call_center_sk = cc_call_center_sk
			and cc_county in ('Williamson County','Williamson County','Williamson County','Williamson County','Williamson County')
			and exists (select *
						from catalog_sales cs2
						where cs1.cs_order_number = cs2.cs_order_number
						  and cs1.cs_warehouse_sk <> cs2.cs_warehouse_sk)
			and not exists(select *
						   from catalog_returns cr1
						   where cs1.cs_order_number = cr1.cr_order_number)
			order by count(distinct cs_order_number)
			limit 100;","{1999,2002}",2,2
6,"select  i_item_id
				   ,i_item_desc 
				   ,i_category 
				   ,i_class 
				   ,i_current_price
				   ,sum(cs_ext_sales_price) as itemrevenue 
				   ,sum(cs_ext_sales_price)*100/sum(sum(cs_ext_sales_price)) over
					   (partition by i_class) as revenueratio
			 from	catalog_sales
				 ,item 
				 ,date_dim
			 where cs_item_sk = i_item_sk 
			   and i_category in ('Jewelry','Sports','Books')
			   and cs_sold_date_sk = d_date_sk
			 and d_date between cast( '1999-01-12' as date) 
 				and (cast('2000-02-12' as date))
			 group by i_item_id
					 ,i_item_desc 
					 ,i_category
					 ,i_class
					 ,i_current_price
			 order by i_category
					 ,i_class
					 ,i_item_id
					 ,i_item_desc
					 ,revenueratio
			limit 100;","{1999,2000}",2,3
7,"select  
   count(distinct cs_order_number) as ""order count"",sum(cs_ext_ship_cost) as ""total shipping cost"",sum(cs_net_profit) as ""total net profit"" from
			   catalog_sales cs1
			  ,date_dim
			  ,customer_address
			  ,call_center
			where
				d_date between '2001-2-01' and 
           (cast('2003-4-01' as date))
			and cs1.cs_ship_date_sk = d_date_sk
			and cs1.cs_ship_addr_sk = ca_address_sk
			and ca_state = 'IL' and cs1.cs_call_center_sk = cc_call_center_sk
			and cc_county in ('Williamson County','Williamson County','Williamson County','Williamson County','Williamson County')
			and exists (select *
						from catalog_sales cs2
						where cs1.cs_order_number = cs2.cs_order_number
						  and cs1.cs_warehouse_sk <> cs2.cs_warehouse_sk)
			and not exists(select *
						   from catalog_returns cr1
						   where cs1.cs_order_number = cr1.cr_order_number)
			order by count(distinct cs_order_number)
			limit 100;","{2001,2003}",2,2
8,"select  i_item_id
				   ,i_item_desc 
				   ,i_category 
				   ,i_class 
				   ,i_current_price
				   ,sum(cs_ext_sales_price) as itemrevenue 
				   ,sum(cs_ext_sales_price)*100/sum(sum(cs_ext_sales_price)) over
					   (partition by i_class) as revenueratio
			 from	catalog_sales
				 ,item 
				 ,date_dim
			 where cs_item_sk = i_item_sk 
			   and i_category in ('Jewelry','Sports','Books')
			   and cs_sold_date_sk = d_date_sk
			 and d_date between cast( '2001-01-12' as date) 
 				and (cast('2001-02-12' as date))
			 group by i_item_id
					 ,i_item_desc 
					 ,i_category
					 ,i_class
					 ,i_current_price
			 order by i_category
					 ,i_class
					 ,i_item_id
					 ,i_item_desc
					 ,revenueratio
			limit 100;","{2001,2001}",2,3
9,"select  *
			 from(select w_warehouse_name
						,i_item_id
						,sum(case when (cast(d_date as date) < cast ('2001-03-08'  as date))
	                then inv_quantity_on_hand 
                      else 0 end) as inv_before
            ,sum(case when (cast(d_date as date) >= cast ('2001-05-08'  as date))
                      then inv_quantity_on_hand 
                      else 0 end) as inv_after
		   from inventory
			   ,warehouse
			   ,item
			   ,date_dim
		   where i_current_price between 0.99 and 1.49
			 and i_item_sk          = inv_item_sk
			 and inv_warehouse_sk   = w_warehouse_sk
			 and inv_date_sk    = d_date_sk
			 and d_date between (cast ('2001-03-08' as date))
                    and (cast ('2001-05-08' as date))
			   group by w_warehouse_name, i_item_id) x
			 where (case when inv_before > 0 
						 then inv_after / inv_before 
						 else null
						 end) between 2.0/3.0 and 3.0/2.0
			 order by w_warehouse_name
					 ,i_item_id
			 limit 100;","{2001,2001}",2,4
10,"select  sum(cs_ext_discount_amt)  as ""excess discount amount"" from 
			   catalog_sales 
			   ,item 
			   ,date_dim
			where
			i_manufact_id = 269
			and i_item_sk = cs_item_sk 
			and d_date between '2001-03-18' and 
			(cast('2001-06-18' as date))
			and d_date_sk = cs_sold_date_sk 
			and cs_ext_discount_amt  
				 > ( 
					 select 
						1.3 * avg(cs_ext_discount_amt) 
					 from 
						catalog_sales 
					   ,date_dim
					 where 
						  cs_item_sk = i_item_sk 
					  and d_date between '2001-03-18' and 
			(cast('2001-06-18' as date))
					  and d_date_sk = cs_sold_date_sk 
				  ) 
			limit 100;","{2001,2001}",2,5
