id,queries,current_query,num_feature,query_hash
1,"select count(*) 
			from store_sales, date_dim, item, customer, customer_address, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_store_sk = s_store_sk
			and d_year >=2006 and d_year <=2016;","{2006,2016}",2,3
2,"select count(*) 
			from store_sales, date_dim, customer, customer_address, customer_demographics, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and ss_store_sk = s_store_sk
			and d_year >=2006 and d_year <=2014;","{2006,2014}",2,6
3,"select count(*) 
			from store_sales, date_dim, item, customer, customer_address, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_store_sk = s_store_sk
			and d_year >=1994 and d_year <=2000;","{1994,2000}",2,3
4,"select count(*) 
			from store_sales, date_dim, item, customer, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_store_sk = s_store_sk
			and d_year >=2008 and d_year <=2011;","{2008,2011}",2,11
5,"select count(*) 
			from store_sales, date_dim, item, customer_demographics, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_cdemo_sk = cd_demo_sk
			and ss_store_sk = s_store_sk
			and d_year >=1995 and d_year <=2000;","{1995,2000}",2,14
6,"select count(*) 
			from store_sales, date_dim, item, customer, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_store_sk = s_store_sk
			and d_year >=1995 and d_year <=2000;","{1995,2000}",2,11
7,"select count(*) 
			from store_sales, date_dim, item, customer, customer_address, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_store_sk = s_store_sk
			and d_year >=2007 and d_year <=2007;","{2007,2007}",2,3
8,"select count(*) 
			from store_sales, date_dim, customer, customer_demographics, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_customer_sk = c_customer_sk
			and ss_cdemo_sk = cd_demo_sk
			and ss_store_sk = s_store_sk
			and d_year >=1994 and d_year <=2017;","{1994,2017}",2,15
9,"select count(*) 
			from store_sales, date_dim, item, customer, customer_address, customer_demographics 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and d_year >=1995 and d_year <=2002;","{1995,2002}",2,2
10,"select count(*) 
			from store_sales, date_dim, customer, customer_address, customer_demographics 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and d_year >=1999 and d_year <=2003;","{1999,2003}",2,10
11,"select count(*) 
			from store_sales, date_dim, customer, customer_address, customer_demographics, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and ss_store_sk = s_store_sk
			and d_year >=2007 and d_year <=2019;","{2007,2019}",2,6
12,"select count(*) 
			from store_sales, date_dim, item, customer_address, customer_demographics 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and d_year >=2008 and d_year <=2013;","{2008,2013}",2,9
13,"select count(*) 
			from store_sales, date_dim, customer, customer_address, customer_demographics 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and d_year >=1993 and d_year <=2008;","{1993,2008}",2,10
14,"select count(*) 
			from store_sales, date_dim, customer, customer_address, customer_demographics, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and ss_store_sk = s_store_sk
			and d_year >=2005 and d_year <=2006;","{2005,2006}",2,6
15,"select count(*) 
			from store_sales, date_dim, item, customer, customer_demographics 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_cdemo_sk = cd_demo_sk
			and d_year >=1990 and d_year <=2002;","{1990,2002}",2,8
16,"select count(*) 
			from store_sales, date_dim, item, customer_address, customer_demographics 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and d_year >=2000 and d_year <=2018;","{2000,2018}",2,9
17,"select count(*) 
			from store_sales, date_dim, item, customer_address, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_addr_sk=ca_address_sk
			and ss_store_sk = s_store_sk
			and d_year >=2001 and d_year <=2012;","{2001,2012}",2,12
18,"select count(*) 
			from store_sales, date_dim, customer, customer_address, customer_demographics 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and d_year >=2008 and d_year <=2009;","{2008,2009}",2,10
19,"select count(*) 
			from store_sales, date_dim, customer, customer_address, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_store_sk = s_store_sk
			and d_year >=2003 and d_year <=2014;","{2003,2014}",2,13
20,"select count(*) 
			from store_sales, date_dim, item, customer, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_store_sk = s_store_sk
			and d_year >=1995 and d_year <=2003;","{1995,2003}",2,11
21,"select count(*) 
			from store_sales, date_dim, item, customer_address, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_addr_sk=ca_address_sk
			and ss_store_sk = s_store_sk
			and d_year >=2003 and d_year <=2014;","{2003,2014}",2,12
22,"select count(*) 
			from store_sales, date_dim, item, customer_address, customer_demographics, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and ss_store_sk = s_store_sk
			and d_year >=1992 and d_year <=2007;","{1992,2007}",2,5
23,"select count(*) 
			from store_sales, date_dim, item, customer, customer_demographics, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_cdemo_sk = cd_demo_sk
			and ss_store_sk = s_store_sk
			and d_year >=1991 and d_year <=2018;","{1991,2018}",2,4
24,"select count(*) 
			from store_sales, date_dim, item, customer, customer_address, customer_demographics, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_addr_sk=ca_address_sk
			and ss_cdemo_sk = cd_demo_sk
			and ss_store_sk = s_store_sk
			and d_year >=2003 and d_year <=2015;","{2003,2015}",2,1
25,"select count(*) 
			from store_sales, date_dim, item, customer_address, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_addr_sk=ca_address_sk
			and ss_store_sk = s_store_sk
			and d_year >=1997 and d_year <=2011;","{1997,2011}",2,12
26,"select count(*) 
			from store_sales, date_dim, item, customer, store 
			where 
			ss_sold_date_sk   = d_date_sk
			and ss_item_sk = i_item_sk
			and ss_customer_sk = c_customer_sk
			and ss_store_sk = s_store_sk
			and d_year >=1999 and d_year <=2015;","{1999,2015}",2,11
