id,queries,current_query,num_feature,query_hash
1,"select
			o_year,
			sum(case
				when nation = 'UNITED STATES' then volume
					else 0
				end) / sum(volume) as mkt_share
			from
				(
					select
						extract(year from o_orderdate) as o_year,
						l_extendedprice * (1 - l_discount) as volume,
						n2.n_name as nation
					from
						part,
						supplier,
						lineitem,
						orders,
						customer,
						nation n1,
						nation n2,
						region
					where
						p_partkey = l_partkey
						and s_suppkey = l_suppkey
						and l_orderkey = o_orderkey
						and o_custkey = c_custkey
						and c_nationkey = n1.n_nationkey
						and n1.n_regionkey = r_regionkey
						and r_name = 'AMERICA' and s_nationkey = n2.n_nationkey
			and o_orderdate between date '1994-2-16'  and date '1996-5-6' and p_type = 'PROMO BRUSHED BRASS' ) as all_nations
			group by
				o_year
			order by
				o_year;","{23930.5333333333,23957.2}",2,8
2,"select
			l_returnflag,
			l_linestatus,
			sum(l_quantity) as sum_qty,
			sum(l_extendedprice) as sum_base_price,
			sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,
			sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge,
			avg(l_quantity) as avg_qty,
			avg(l_extendedprice) as avg_price,
			avg(l_discount) as avg_disc,
			count(*) as count_order
		from
			lineitem
		where
			l_shipdate <= date '1994-10-6' - interval '63' day group by
			l_returnflag,
			l_linestatus
		order by
			l_returnflag,
			l_linestatus;","{23938.2,23963.6666666667}",1,1
3,"select
			c_custkey,
			c_name,
			sum(l_extendedprice * (1 - l_discount)) as revenue,
			c_acctbal,
			n_name,
			c_address,
			c_phone,
			c_comment
		from
			customer,
			orders,
			lineitem,
			nation
		where
			c_custkey = o_custkey
			and l_orderkey = o_orderkey
			and o_orderdate >= date '1992-7-26' and o_orderdate < date '1993-9-25' + interval'3' month and l_returnflag = 'R' and c_nationkey = n_nationkey
		group by
			c_custkey,
			c_name,
			c_acctbal,
			c_phone,
			n_name,
			c_address,
			c_comment
		order by
			revenue desc;","{23911.8666666667,23925.8333333333}",2,10
4,"select
			c_custkey,
			c_name,
			sum(l_extendedprice * (1 - l_discount)) as revenue,
			c_acctbal,
			n_name,
			c_address,
			c_phone,
			c_comment
		from
			customer,
			orders,
			lineitem,
			nation
		where
			c_custkey = o_custkey
			and l_orderkey = o_orderkey
			and o_orderdate >= date '1993-7-4' and o_orderdate < date '1994-8-26' + interval'3' month and l_returnflag = 'R' and c_nationkey = n_nationkey
		group by
			c_custkey,
			c_name,
			c_acctbal,
			c_phone,
			n_name,
			c_address,
			c_comment
		order by
			revenue desc;","{23923.1333333333,23936.8666666667}",2,10
5,"select
			l_returnflag,
			l_linestatus,
			sum(l_quantity) as sum_qty,
			sum(l_extendedprice) as sum_base_price,
			sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,
			sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge,
			avg(l_quantity) as avg_qty,
			avg(l_extendedprice) as avg_price,
			avg(l_discount) as avg_disc,
			count(*) as count_order
		from
			lineitem
		where
			l_shipdate <= date '1994-11-2' - interval '63' day group by
			l_returnflag,
			l_linestatus
		order by
			l_returnflag,
			l_linestatus;","{23939.0666666667,23958.2}",1,1
6,"select
			l_returnflag,
			l_linestatus,
			sum(l_quantity) as sum_qty,
			sum(l_extendedprice) as sum_base_price,
			sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,
			sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge,
			avg(l_quantity) as avg_qty,
			avg(l_extendedprice) as avg_price,
			avg(l_discount) as avg_disc,
			count(*) as count_order
		from
			lineitem
		where
			l_shipdate <= date '1996-7-21' - interval '63' day group by
			l_returnflag,
			l_linestatus
		order by
			l_returnflag,
			l_linestatus;","{23959.7,23976.2}",1,1
7,"select
			l_returnflag,
			l_linestatus,
			sum(l_quantity) as sum_qty,
			sum(l_extendedprice) as sum_base_price,
			sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,
			sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge,
			avg(l_quantity) as avg_qty,
			avg(l_extendedprice) as avg_price,
			avg(l_discount) as avg_disc,
			count(*) as count_order
		from
			lineitem
		where
			l_shipdate <= date '1992-6-1' - interval '63' day group by
			l_returnflag,
			l_linestatus
		order by
			l_returnflag,
			l_linestatus;","{23910.0333333333,23940.7333333333}",1,1
8,"select
			ps_partkey,
			sum(ps_supplycost * ps_availqty) as value
		from
			partsupp,
			supplier,
			nation
		where
			ps_suppkey = s_suppkey
			and s_nationkey = n_nationkey
			and n_name = 'UNITED STATES' group by
		ps_partkey having
			sum(ps_supplycost * ps_availqty) > (
				select
					sum(ps_supplycost * ps_availqty) * 0.0001000000
				from
					partsupp,
					supplier,
					nation
				where
					ps_suppkey = s_suppkey
					and s_nationkey = n_nationkey
					and n_name = 'UNITED STATES' )order by
			value desc;","{1,1}",1,11
9,"select
			o_year,
			sum(case
				when nation = 'UNITED STATES' then volume
					else 0
				end) / sum(volume) as mkt_share
			from
				(
					select
						extract(year from o_orderdate) as o_year,
						l_extendedprice * (1 - l_discount) as volume,
						n2.n_name as nation
					from
						part,
						supplier,
						lineitem,
						orders,
						customer,
						nation n1,
						nation n2,
						region
					where
						p_partkey = l_partkey
						and s_suppkey = l_suppkey
						and l_orderkey = o_orderkey
						and o_custkey = c_custkey
						and c_nationkey = n1.n_nationkey
						and n1.n_regionkey = r_regionkey
						and r_name = 'AMERICA' and s_nationkey = n2.n_nationkey
			and o_orderdate between date '1992-10-18'  and date '1993-9-28' and p_type = 'PROMO BRUSHED BRASS' ) as all_nations
			group by
				o_year
			order by
				o_year;","{23914.6,23925.9333333333}",2,8
10,"select
			ps_partkey,
			sum(ps_supplycost * ps_availqty) as value
		from
			partsupp,
			supplier,
			nation
		where
			ps_suppkey = s_suppkey
			and s_nationkey = n_nationkey
			and n_name = 'UNITED STATES' group by
		ps_partkey having
			sum(ps_supplycost * ps_availqty) > (
				select
					sum(ps_supplycost * ps_availqty) * 0.0001000000
				from
					partsupp,
					supplier,
					nation
				where
					ps_suppkey = s_suppkey
					and s_nationkey = n_nationkey
					and n_name = 'UNITED STATES' )order by
			value desc;","{1,1}",1,11
