id,queries,current_query,num_feature,query_hash
1,"select
			o_year,
			sum(case
				when nation = 'UNITED STATES' then volume
					else 0
				end) / sum(volume) as mkt_share
			from
				(
					select
						extract(year from o_orderdate) as o_year,
						l_extendedprice * (1 - l_discount) as volume,
						n2.n_name as nation
					from
						part,
						supplier,
						lineitem,
						orders,
						customer,
						nation n1,
						nation n2,
						region
					where
						p_partkey = l_partkey
						and s_suppkey = l_suppkey
						and l_orderkey = o_orderkey
						and o_custkey = c_custkey
						and c_nationkey = n1.n_nationkey
						and n1.n_regionkey = r_regionkey
						and r_name = 'AMERICA' and s_nationkey = n2.n_nationkey
			and o_orderdate between date '1996-3-27'  and date '1998-10-11' and p_type = 'PROMO BRUSHED BRASS' ) as all_nations
			group by
				o_year
			order by
				o_year;","{23955.9,23986.3666666667}",2,8
2,"select
			nation,
			o_year,
			sum(amount) as sum_profit
		from
			(
				select
					n_name as nation,
					extract(year from o_orderdate) as o_year,
					l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
				from
					part,
					supplier,
					lineitem,
					partsupp,
					orders,
					nation
				where
					s_suppkey = l_suppkey
					and ps_suppkey = l_suppkey
					and ps_partkey = l_partkey
					and p_partkey = l_partkey
					and o_orderkey = l_orderkey
					and s_nationkey = n_nationkey
					and p_name like '%white%' ) as profit
			group by
				nation,
				o_year
			order by
				nation,
				o_year desc;","{1,1}",1,9
3,"select
		l_shipmode,
		sum(case
			when o_orderpriority = '1-URGENT' or o_orderpriority ='2-HIGH' then 1
			else 0
		end) as high_line_count,
		sum(case
			when o_orderpriority <>'1-URGENT' and o_orderpriority <>'2-HIGH' then 1
				else 0
			end) as low_line_count
		from
			orders,
			lineitem
		where
			o_orderkey = l_orderkey
			and l_shipmode in ('AIR','MAIL')and l_commitdate < l_receiptdate
		and l_shipdate < l_commitdate
		and l_receiptdate >= date '1996-7-13' and l_receiptdate < date '1997-6-11' + interval '1' year
		group by
			l_shipmode
		order by
			l_shipmode;","{23959.4333333333,23970.3666666667}",2,12
4,"select
		l_shipmode,
		sum(case
			when o_orderpriority = '1-URGENT' or o_orderpriority ='2-HIGH' then 1
			else 0
		end) as high_line_count,
		sum(case
			when o_orderpriority <>'1-URGENT' and o_orderpriority <>'2-HIGH' then 1
				else 0
			end) as low_line_count
		from
			orders,
			lineitem
		where
			o_orderkey = l_orderkey
			and l_shipmode in ('AIR','MAIL')and l_commitdate < l_receiptdate
		and l_shipdate < l_commitdate
		and l_receiptdate >= date '1994-5-17' and l_receiptdate < date '1995-4-20' + interval '1' year
		group by
			l_shipmode
		order by
			l_shipmode;","{23933.5666666667,23944.6666666667}",2,12
5,"select
		l_shipmode,
		sum(case
			when o_orderpriority = '1-URGENT' or o_orderpriority ='2-HIGH' then 1
			else 0
		end) as high_line_count,
		sum(case
			when o_orderpriority <>'1-URGENT' and o_orderpriority <>'2-HIGH' then 1
				else 0
			end) as low_line_count
		from
			orders,
			lineitem
		where
			o_orderkey = l_orderkey
			and l_shipmode in ('AIR','MAIL')and l_commitdate < l_receiptdate
		and l_shipdate < l_commitdate
		and l_receiptdate >= date '1994-3-24' and l_receiptdate < date '1997-12-23' + interval '1' year
		group by
			l_shipmode
		order by
			l_shipmode;","{23931.8,23976.7666666667}",2,12
6,"select
			nation,
			o_year,
			sum(amount) as sum_profit
		from
			(
				select
					n_name as nation,
					extract(year from o_orderdate) as o_year,
					l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
				from
					part,
					supplier,
					lineitem,
					partsupp,
					orders,
					nation
				where
					s_suppkey = l_suppkey
					and ps_suppkey = l_suppkey
					and ps_partkey = l_partkey
					and p_partkey = l_partkey
					and o_orderkey = l_orderkey
					and s_nationkey = n_nationkey
					and p_name like '%white%' ) as profit
			group by
				nation,
				o_year
			order by
				nation,
				o_year desc;","{1,1}",1,9
7,"select
			c_custkey,
			c_name,
			sum(l_extendedprice * (1 - l_discount)) as revenue,
			c_acctbal,
			n_name,
			c_address,
			c_phone,
			c_comment
		from
			customer,
			orders,
			lineitem,
			nation
		where
			c_custkey = o_custkey
			and l_orderkey = o_orderkey
			and o_orderdate >= date '1994-5-19' and o_orderdate < date '1998-3-20' + interval'3' month and l_returnflag = 'R' and c_nationkey = n_nationkey
		group by
			c_custkey,
			c_name,
			c_acctbal,
			c_phone,
			n_name,
			c_address,
			c_comment
		order by
			revenue desc;","{23933.6333333333,23979.6666666667}",2,10
8,"select
			nation,
			o_year,
			sum(amount) as sum_profit
		from
			(
				select
					n_name as nation,
					extract(year from o_orderdate) as o_year,
					l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
				from
					part,
					supplier,
					lineitem,
					partsupp,
					orders,
					nation
				where
					s_suppkey = l_suppkey
					and ps_suppkey = l_suppkey
					and ps_partkey = l_partkey
					and p_partkey = l_partkey
					and o_orderkey = l_orderkey
					and s_nationkey = n_nationkey
					and p_name like '%white%' ) as profit
			group by
				nation,
				o_year
			order by
				nation,
				o_year desc;","{1,1}",1,9
9,"select
			nation,
			o_year,
			sum(amount) as sum_profit
		from
			(
				select
					n_name as nation,
					extract(year from o_orderdate) as o_year,
					l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
				from
					part,
					supplier,
					lineitem,
					partsupp,
					orders,
					nation
				where
					s_suppkey = l_suppkey
					and ps_suppkey = l_suppkey
					and ps_partkey = l_partkey
					and p_partkey = l_partkey
					and o_orderkey = l_orderkey
					and s_nationkey = n_nationkey
					and p_name like '%white%' ) as profit
			group by
				nation,
				o_year
			order by
				nation,
				o_year desc;","{1,1}",1,9
10,"select
			supp_nation,
			cust_nation,
			l_year,
			sum(volume) as revenue
		from
			(
				select
					n1.n_name as supp_nation,
					n2.n_name as cust_nation,
					extract(year from l_shipdate) as l_year,
					l_extendedprice * (1 - l_discount) as volume
				from
					supplier,
					lineitem,
					orders,
					customer,
					nation n1,
					nation n2
				where
					s_suppkey = l_suppkey
					and o_orderkey = l_orderkey
					and c_custkey = o_custkey
					and s_nationkey = n1.n_nationkey
					and c_nationkey = n2.n_nationkey
					and (
						(n1.n_name = 'EGYPT' and n2.n_name = 'UNITED STATES' )or (n1.n_name = 'UNITED STATES' and n2.n_name = 'EGYPT' ))and l_shipdate between date '1994-2-10' and date'1997-11-6' ) as shipping
		group by
			supp_nation,
			cust_nation,
			l_year
		order by
			supp_nation,
			cust_nation,
			l_year;","{23930.3333333333,23975.2}",2,7
