id,queries,current_query,num_feature,query_hash
1,"select
			l_returnflag,
			l_linestatus,
			sum(l_quantity) as sum_qty,
			sum(l_extendedprice) as sum_base_price,
			sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,
			sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge,
			avg(l_quantity) as avg_qty,
			avg(l_extendedprice) as avg_price,
			avg(l_discount) as avg_disc,
			count(*) as count_order
		from
			lineitem
		where
			l_shipdate <= date '1993-5-25' - interval '63' day group by
			l_returnflag,
			l_linestatus
		order by
			l_returnflag,
			l_linestatus;","{23921.8333333333,23937.3333333333}",1,1
2,"select
			l_returnflag,
			l_linestatus,
			sum(l_quantity) as sum_qty,
			sum(l_extendedprice) as sum_base_price,
			sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,
			sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge,
			avg(l_quantity) as avg_qty,
			avg(l_extendedprice) as avg_price,
			avg(l_discount) as avg_disc,
			count(*) as count_order
		from
			lineitem
		where
			l_shipdate <= date '1996-1-26' - interval '63' day group by
			l_returnflag,
			l_linestatus
		order by
			l_returnflag,
			l_linestatus;","{23953.8666666667,23986.7}",1,1
3,"select
			s_acctbal,
			s_name,
			n_name,
			p_partkey,
			p_mfgr,
			s_address,
			s_phone,
			s_comment
		from
			part,
			supplier,
			partsupp,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and p_size = 49
			and p_type like '%COPPER' and s_nationkey = n_nationkey
		and n_regionkey = r_regionkey
		and r_name = 'MIDDLE EAST' and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
			and n_regionkey = r_regionkey
			and r_name = 'MIDDLE EAST' )
		order by
			s_acctbal desc,
			n_name,
			s_name,
			p_partkey;","{1,1}",1,2
4,"select
			l_returnflag,
			l_linestatus,
			sum(l_quantity) as sum_qty,
			sum(l_extendedprice) as sum_base_price,
			sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,
			sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge,
			avg(l_quantity) as avg_qty,
			avg(l_extendedprice) as avg_price,
			avg(l_discount) as avg_disc,
			count(*) as count_order
		from
			lineitem
		where
			l_shipdate <= date '1993-11-2' - interval '63' day group by
			l_returnflag,
			l_linestatus
		order by
			l_returnflag,
			l_linestatus;","{23927.0666666667,23963.4666666667}",1,1
5,"select
			l_returnflag,
			l_linestatus,
			sum(l_quantity) as sum_qty,
			sum(l_extendedprice) as sum_base_price,
			sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,
			sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)) as sum_charge,
			avg(l_quantity) as avg_qty,
			avg(l_extendedprice) as avg_price,
			avg(l_discount) as avg_disc,
			count(*) as count_order
		from
			lineitem
		where
			l_shipdate <= date '1992-4-11' - interval '63' day group by
			l_returnflag,
			l_linestatus
		order by
			l_returnflag,
			l_linestatus;","{23908.3666666667,23933.6666666667}",1,1
6,"select
			s_acctbal,
			s_name,
			n_name,
			p_partkey,
			p_mfgr,
			s_address,
			s_phone,
			s_comment
		from
			part,
			supplier,
			partsupp,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and p_size = 49
			and p_type like '%COPPER' and s_nationkey = n_nationkey
		and n_regionkey = r_regionkey
		and r_name = 'MIDDLE EAST' and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
			and n_regionkey = r_regionkey
			and r_name = 'MIDDLE EAST' )
		order by
			s_acctbal desc,
			n_name,
			s_name,
			p_partkey;","{1,1}",1,2
7,"select
			l_orderkey,
			sum(l_extendedprice * (1 - l_discount)) as revenue,
			o_orderdate,
			o_shippriority
		from
			customer,
			orders,
			lineitem
		where
			c_mktsegment ='FURNITURE' and c_custkey = o_custkey
		and l_orderkey = o_orderkey
		and o_orderdate < date '1995-3-3' and l_shipdate > date '1994-2-2' group by
			l_orderkey,
			o_orderdate,
			o_shippriority
		order by
			revenue desc,
			o_orderdate;","{23930.0666666667,23943.1}",2,3
8,"select
			o_orderpriority,
			count(*) as order_count
		from
			orders
		where
			o_orderdate >= date '1997-8-26' and o_orderdate < date '1998-3-18'  + interval '3' month and exists (
				select
					*
				from
					lineitem
				where
					l_orderkey = o_orderkey
					and l_commitdate < l_receiptdate
			)
		group by
			o_orderpriority
		order by
			o_orderpriority;","{23972.8666666667,23979.6}",2,4
9,"select
			l_orderkey,
			sum(l_extendedprice * (1 - l_discount)) as revenue,
			o_orderdate,
			o_shippriority
		from
			customer,
			orders,
			lineitem
		where
			c_mktsegment ='FURNITURE' and c_custkey = o_custkey
		and l_orderkey = o_orderkey
		and o_orderdate < date '1998-2-12' and l_shipdate > date '1997-2-12' group by
			l_orderkey,
			o_orderdate,
			o_shippriority
		order by
			revenue desc,
			o_orderdate;","{23966.4,23978.4}",2,3
10,"select
			s_acctbal,
			s_name,
			n_name,
			p_partkey,
			p_mfgr,
			s_address,
			s_phone,
			s_comment
		from
			part,
			supplier,
			partsupp,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and p_size = 49
			and p_type like '%COPPER' and s_nationkey = n_nationkey
		and n_regionkey = r_regionkey
		and r_name = 'MIDDLE EAST' and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
			and n_regionkey = r_regionkey
			and r_name = 'MIDDLE EAST' )
		order by
			s_acctbal desc,
			n_name,
			s_name,
			p_partkey;","{1,1}",1,2
